"《南昌铁路局高铁快运业务管理细则》载客动车组可将集装件装在（    ）等位置。","大件行李存放处","二等车厢最后一排座椅后空档处","集装件专用存放处","动卧列车预留包厢",ANS|0|1|2|3
"《南昌铁路局高铁快运业务管理细则》列车中途停站作业时，一个车门上下的集装件总数每分钟不得超过（    ）件。",1,2,3,4,ANS|1
"《南昌铁路局高铁快运业务管理细则》列车长应对押运员的证件进行检查和登记，列车长将相关信息登记在乘务日志内（纸质或电子），具体内容为（    ）。",押运员姓名,身份证号码,座椅押运区间间隔处,高铁快件装车件数和放置位置,ANS|0|2|3
"放射性货物堆码要求一批或一辆行李车内放射性物品不得超过（    ）件，每件重量不得超过50千克。",20,10,50,100,ANS|0
"放射性货物堆码要求一批或一辆行李车内放射性物品不得与（    ）堆码在一起，与视频隔开的距离应在2米以上。",感光材料,活动物,食品,药品,ANS|0|1
"行李保价费按声明价格的（    ）计算。",1%,0.5%,2%,10%,ANS|1
"每张行李、包裹票的起码运费为__元。",1,5,2,10,ANS|0
"（    ）应按四类包裹办理。",泡沫塑料及其制品,电视机,摩托车,国务院铁路主管部门指定的其他需要特殊运输条件的物品？,ANS|0|2|3
"（    ）属于行李的范围。",旅客自用的被褥,旅客自用的衣服,书刊,旅客代步的残疾人车,ANS|0|1|3
"（    ）是铁路免费运输的物品。",中国铁路文工团演出用的服装、道具、布景,物品在5千克以内遗失物品需要通过铁路向失主所在站转送时,行李逾期到达或逾期尚未到达旅客需继续旅行，凭新购客票及原行李票要求铁路将行李转运至新到站时,中小学教材,ANS|0|1|2
"《铁路旅客运输服务质量规范》规定，普速旅客行李车贵重品、密件（    ）。",定人保管,定位保管,入柜加锁,入柜保管,ANS|2
"《铁路旅客运输服务质量规范》规定，普速旅客列车行李车员值乘途中应及时、正确填写台账资料，及时向（    ）做好预报。",后方站,前方站,终点站,中转站,ANS|1
"《铁路旅客运输服务质量规范》规定，普速旅客列车行李车货仓保持干净、留有安全通道，保证货物装卸和人员正常通行。",ANS|Y
"《铁路旅客运输服务质量规范》规定，普速旅客列车行李车内无违章运输物品，无闲杂人员，货仓拉门加锁。",ANS|N
"《空调列车服务质量规范》规定行李车、邮政车和发电车按规定配备防烟毒面具，包装完好，配件齐全。",ANS|N
"《铁路旅客运输服务质量规范》规定，普速旅客列车行李车内无违章运输物品，无闲杂人员，货仓拉门加明锁。对押运人员查验车票、押运证、身份证，告知注意事项并进行登记。",ANS|Y
"高铁集装件存放在载客动车组一节车厢内大件行李存放处和最后一排座椅后空档处预留不少于二分之一的空间供旅客使用。",ANS|N
"《动车组列车服务质量规范》规定，高铁集装件码放在载客动车组车厢内最后一排座椅后的空档处时，可超过座椅靠背高度。",ANS|N
"《铁路旅客运输服务质量规范》规定，普速旅客列车行李车、邮政车按规定配备（    ），包装完好，配件齐全。",1 具防烟毒面具,2 具防烟毒面具,3 具防烟毒面具,有效防烟毒面具,ANS|3
"《动车组列车服务质量规范》规定，高铁快运集装件码放在载客动车组车厢内（    ）最后一排座位后的空档处时，不影响座椅靠背后倾。",商务座,一等座,二等座,特等座,ANS|2
"《动车组列车服务质量规范》规定高铁快运应使用（    ）等集装容器并以集装件的形式在高铁车站间运输。",专用箱,冷藏箱,集装袋,集装箱,ANS|0|1|2
"《动车组列车服务质量规范》规定高铁快件运输途中有押运员跟车作业的列车，列车长要对押运员的证件（    ）。",检查,登记,查看,查验,ANS|0|1
"《动车组列车服务质量规范》规定高铁快件运输途中无押运员跟车作业的列车，列车乘务人员在运行途中巡视、检查高铁快运集装件（    ）等状况。",码放,外包装,内包装,施封,ANS|0|1|3
"《铁路旅客运输服务质量规范》规定，普速旅客列车行李车办公室有遮光帘，有（    ）。",站名牌,货位示意图,隔离带（网）,《押运人员须知》,ANS|0|1|2|3
"铁路衡器管理所检修工作人员，持证明到各站检定、修理衡器时，可随身携带（    ）公斤的标准砝码。",20,200,35,350,ANS|1
"运输超过包裹规定重量的物品，应经（    ）批准。",站长,行包主任,调度命令,客运主任,ANS|2
"《细则》中规定：放射性物品与食品配装要隔开（    ）以上的距离。",0.5m,1m,2m,2.5m,ANS|2
"《铁路旅客运输管理规则》规定，铁路各系统之间的公文及其附属品可以通过旅客列车的行李车免费运送。",ANS|Y
"国家铁路的旅客票价率和行李、包裹运价率由国务院铁路主管部门拟定，报国务院批准。",ANS|Y
"《铁路旅客运输规程》规定，旅客要求退还带有“行”字戳迹的车票时，应先办理行李变更手续。",ANS|Y
"《铁路客运运价规则》中所指客运运价包括旅客票价和行李、包裹运价。",ANS|Y
"按保价运输的行李、包裹核收保价费。行李保价费按声明价格的1%、包裹保价费按声明价格的1.5%计算。",ANS|N
"办理行李、包裹托运时，助力自行车的规定计价重量为50kg。",ANS|N
"每张行李、包裹票的起码运费为1元。",ANS|Y